charge     num_O     num_Sn  num_H    num_doping  E_defected      num_site
  0          -1        0       0       0      -620.452284     2
  1          -1        0       0       0      -627.967186     0
  2          -1        0       0       0      -635.764397     2
  0          1         0       0       0      -631.204436     2
  -1         1         0       0       0      -622.952505     2
  -2         1         0       0       0      -615.059828     2
  0          0         1       0       0      -625.778274     2
  1          0         1       0       0      -635.305057     2
  2          0         1       0       0      -645.041059     2
  3          0         1       0       0      -654.091956     2
  4          0         1       0       0      -662.664991     2
  0          0        -1       0       0      -612.818290     1
  -1         0        -1       0       0      -607.065383     1
  -2         0        -1       0       0      -601.162736     1
  -3         0        -1       0       0      -595.046030     1
  -4         0        -1       0       0      -588.629407     1
 
