charge     num_O     num_Sn  num_H    num_doping  E_defected      num_site
  0          -1        0       0       0      -305.409006     2
  1          -1        0       0       0      -313.031868     2
  2          -1        0       0       0      -320.585756     2
  0          1         0       0       0      -316.201104     2
  -1         1         0       0       0      -307.915919     2
  -2         1         0       0       0      -300.070039     2
  0          0         1       0       0      -310.348214     2
  1          0         1       0       0      -320.183153     2
  2          0         1       0       0      -330.337267     2
  3          0         1       0       0      -340.277031     2
  4          0         1       0       0      -349.250733     2
  0          0        -1       0       0      -297.799887     1
  -1         0        -1       0       0      -292.463294     1
  -2         0        -1       0       0      -286.923641     1
  -3         0        -1       0       0      -281.118935     1
  -4         0        -1       0       0      -274.801694     1
  -1         0         0       1       0      -306.036968     2
  0          0         0       1       0       -315.790431    2
  1          0         0       1       0       -324.576319    2
  0         -1         0       1       0       -308.496792    2
  1         -1         0       1       0       -317.286272    2    
  2         -1         0       1       0       -323.254443    2
  3         -1         0       1       0       -328.984808    2    
  0          0        -1       1       0       -301.765533    1                                                            
 -1          0        -1       1       0       -296.303385    1  
 -2          0        -1       1       0       -290.603198    1  
 -3          0        -1       1       0       -284.578049    1  
 -4          0        -1       1       0       -276.268714    1  
  0        0         0       0       1       -313.507    2
   1        0         0       0       1      -322.194     2
   2        0         0       0       1      -330.548     2
   3        0         0       0       1      -339.098     2
   4        0         0       0       1      -345.484    2
   5        0         0       0       1      -351.681     2
   6        0         0       0       1      -357.725     2
   0        0         -1       0       1       -311.202  1
   1        0         -1       0       1       -317.53   1
   2        0         -1       0       1       -323.562  1
   -1        0         -1       0       1      -304.482   1
     -2        0         -1       0       1    -295.891     1
   -3        0         -1       0       1      -286.785     1   
     -4        0         -1       0       1    -277.209    1
