charge     num_O     num_Sn  num_H    num_doping  E_defected      num_site
  0          -1        0       0       0      -620.45228435     2
  1          -1        0       0       0      -627.95068639     2
  2          -1        0       0       0      -635.76439703     2
  0          1         0       0       0      -631.20443624     2
  -1         1         0       0       0      -622.92435675    2
  -2         1         0       0       0      -615.05913866     2
  0          0         1       0       0      -625.77481512     2
  1          0         1       0       0      -635.28581890     2
  2          0         1       0       0      -645.04105696     2
  3          0         1       0       0      -654.08548921     2
  4          0         1       0       0      -662.66499147     2
  0          0        -1       0       0      -612.71824765     1
  -1         0        -1       0       0      -606.98217138     1
  -2         0        -1       0       0      -601.09601584     1
  -3         0        -1       0       0      -595.00126110     1
  -4         0        -1       0       0      -588.62940715     1
  -1         0         0       1       0      -621.89964900     2
  0          0         0       1       0       -631.00413286    2
  1          0         0       1       0       -639.58247286    2
  0         -1         0       1       0       -623.71060504    2
  1         -1         0       1       0       -632.31502647    2    
  2         -1         0       1       0       -638.40068839    2
  3         -1         0       1       0       -644.32639273    2    
  0          0        -1       1       0       -616.86506006    1  
 -1          0        -1       1       0       -611.09550023    1  
 -2          0        -1       1       0       -605.09256290    1  
 -3          0        -1       1       0       -598.79369518    1  
 -4          0        -1       1       0       -590.48752460    1
